,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,PUMA,RAC1P,SEX,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,NOC_y,NPF_y,PINCP_DECILE_y,percent_match
185,64,2,6,2,2,2,N,4,0,1,3,6,0,N,2,6,25-01000,1,1,17,2,6,2,2,2,N,1,1,2,2,63.63636363636363
186,38,2,5,2,2,2,N,9,0,1,N,1,1,5,2,4,25-01300,6,2,36,2,5,2,2,2,N,1,1,3,0,72.72727272727273
187,37,2,6,2,2,2,N,10,0,1,15,1,1,4,1,9,25-01000,1,2,37,2,6,2,2,2,N,1,2,4,1,81.81818181818183
188,27,2,6,2,2,2,N,10,0,1,12,4,0,4,1,6,25-01000,1,2,75,2,6,2,2,2,N,1,0,N,7,72.72727272727273
189,70,2,6,2,2,2,N,8,0,1,14,1,0,6,1,2,25-00703,1,2,38,2,6,2,2,1,N,1,3,6,2,72.72727272727273
190,54,2,7,2,2,2,N,11,0,1,10,1,0,2,1,7,25-02800,1,2,72,2,7,2,2,2,N,1,0,2,5,81.81818181818183
191,15,2,5,2,2,2,N,11,0,1,16,1,1,2,1,0,25-01300,1,2,41,2,5,2,2,2,N,1,2,4,8,63.63636363636363
192,24,2,5,2,2,2,N,9,0,1,12,1,2,2,2,7,25-01300,6,2,45,2,5,2,2,2,N,1,1,3,3,63.63636363636363
193,-3,2,7,2,2,2,N,3,4,1,N,N,2,4,1,N,25-00503,1,1,14,2,7,2,2,2,N,1,2,4,N,90.9090909090909
194,72,2,5,2,1,2,N,9,0,1,N,4,0,2,1,0,25-01300,1,2,68,2,5,2,2,2,N,1,0,N,7,63.63636363636363
195,45,2,6,2,2,2,N,9,0,1,9,6,1,4,1,8,25-01000,1,2,47,2,6,2,2,2,N,1,0,N,7,63.63636363636363
196,36,2,6,2,2,2,N,9,0,1,9,6,0,4,2,8,25-00703,1,1,35,2,6,2,2,2,N,1,0,N,7,72.72727272727273
197,83,2,6,2,2,2,N,7,0,1,12,4,0,N,1,1,25-01000,1,2,55,2,6,2,2,2,N,1,0,2,5,72.72727272727273
198,57,2,6,2,2,2,N,5,0,1,10,1,1,3,1,9,25-00703,1,2,55,2,6,2,2,2,N,1,1,4,7,72.72727272727273
199,54,2,7,2,2,2,N,7,0,1,11,4,0,N,1,2,25-02800,1,1,57,1,7,2,2,2,N,1,0,3,7,63.63636363636363
200,67,2,6,2,2,2,N,5,0,1,10,1,0,2,2,8,25-00703,1,2,61,2,6,2,2,2,N,1,0,2,7,81.81818181818183
201,31,2,7,2,2,2,N,10,0,1,12,6,0,2,1,7,25-02800,1,1,68,2,7,2,2,2,N,1,0,N,9,72.72727272727273
202,68,2,7,2,2,2,N,7,0,1,14,1,0,2,1,7,25-00503,1,1,62,2,7,2,2,2,N,1,0,2,5,81.81818181818183
203,31,2,7,2,2,2,N,9,2,1,10,6,0,7,1,9,25-00503,1,1,50,2,7,2,2,2,N,1,0,2,7,72.72727272727273
204,57,2,6,2,2,2,N,9,0,1,12,4,0,N,2,8,25-00703,1,2,85,2,6,2,2,1,N,1,0,N,5,72.72727272727273
205,54,2,5,2,2,2,N,7,0,1,6,6,0,4,2,1,25-01300,1,1,26,2,5,2,2,1,N,1,0,N,6,63.63636363636363
206,10,2,6,2,2,2,N,7,2,3,14,6,N,N,0,1,25-00703,1,1,24,2,6,2,2,2,N,3,N,N,0,81.81818181818183
207,21,2,7,2,2,2,N,10,0,1,3,6,2,N,2,7,25-02800,1,1,26,2,7,2,2,2,N,1,0,N,8,72.72727272727273
208,38,2,6,2,2,2,N,6,0,1,3,6,2,4,1,7,25-00703,1,1,42,2,6,2,2,2,N,1,0,N,8,63.63636363636363
209,59,2,7,2,2,1,N,7,0,1,14,6,0,3,2,5,25-02800,1,2,29,2,7,2,2,2,N,1,0,N,5,72.72727272727273
210,13,2,6,2,2,2,N,3,0,1,N,6,2,4,1,N,25-00703,1,1,15,2,6,2,2,2,N,1,2,3,0,72.72727272727273
211,35,2,5,2,2,2,N,8,0,1,8,1,1,3,1,8,25-01300,1,1,52,2,5,2,2,2,N,1,1,5,8,81.81818181818183
212,57,2,6,2,2,2,N,8,0,1,10,4,0,2,1,7,25-00703,1,1,58,2,6,2,2,2,N,1,0,N,9,72.72727272727273
213,32,2,6,2,2,2,N,7,0,1,6,4,0,N,2,1,25-00703,1,2,62,2,6,2,1,1,N,1,0,N,2,63.63636363636363
214,22,2,7,2,2,2,N,11,0,1,9,1,1,3,1,8,25-00503,6,2,42,2,7,2,2,2,N,1,2,5,7,63.63636363636363
215,43,2,7,2,2,2,N,5,0,1,10,6,0,6,1,0,25-02800,1,2,58,2,7,2,1,2,N,1,0,4,5,63.63636363636363
216,21,2,6,2,2,2,N,4,0,1,N,N,3,3,1,7,25-01000,6,1,14,2,6,2,2,2,N,1,1,3,N,72.72727272727273
217,25,2,6,2,2,2,N,7,0,1,6,6,1,N,2,1,25-00703,1,1,26,2,6,2,2,2,N,1,0,3,3,63.63636363636363
218,57,2,6,2,2,1,N,9,0,1,10,4,0,N,2,6,25-01000,1,2,76,2,6,2,2,2,N,1,0,N,6,81.81818181818183
219,23,2,6,2,2,2,N,9,0,1,7,6,1,3,2,8,25-00703,1,1,32,2,6,2,2,2,N,1,0,2,7,63.63636363636363
220,25,2,6,2,2,2,N,8,0,1,10,1,1,3,1,9,25-01000,1,2,48,2,6,2,2,2,N,1,1,3,4,81.81818181818183
221,35,2,7,2,2,2,N,10,0,1,9,1,1,3,2,8,25-02800,1,1,33,2,7,2,2,2,N,1,1,3,6,81.81818181818183
222,34,2,7,2,2,2,N,5,0,1,3,1,0,2,2,6,25-02800,1,1,39,2,7,2,2,2,N,1,0,2,7,81.81818181818183
223,57,2,6,2,2,2,N,7,0,1,7,6,0,N,1,3,25-00703,1,2,33,2,6,2,2,2,N,1,0,3,2,72.72727272727273
224,18,2,6,2,2,2,N,7,0,1,4,6,2,3,2,3,25-00703,1,1,31,2,6,2,2,2,N,1,0,N,4,63.63636363636363
225,72,2,7,2,2,2,N,8,0,1,16,1,0,2,2,7,25-00503,1,1,27,2,7,2,2,2,N,1,2,4,4,63.63636363636363
226,70,2,5,2,2,2,N,9,0,1,12,5,2,2,1,7,25-01300,1,2,33,2,5,2,2,2,N,1,0,5,5,63.63636363636363
227,44,1,6,2,2,2,N,10,0,1,11,3,0,N,1,3,25-01000,1,2,68,2,6,2,2,2,N,1,0,N,6,72.72727272727273
228,45,2,7,2,2,2,N,11,0,1,N,1,0,2,2,0,25-02800,1,1,66,2,7,2,2,2,N,1,0,3,0,81.81818181818183
229,48,2,7,2,2,2,N,7,0,1,4,6,0,N,2,5,25-00503,6,1,30,2,7,2,2,2,N,1,0,2,6,72.72727272727273
230,25,2,6,2,2,2,N,9,0,1,8,1,2,3,1,8,25-00703,6,2,37,2,6,2,2,2,N,1,1,3,8,81.81818181818183
231,66,2,5,2,2,2,N,12,0,1,4,1,1,3,1,7,25-01300,1,2,50,2,5,2,2,2,N,1,2,5,9,63.63636363636363
232,70,2,5,2,2,2,N,5,0,1,13,6,0,5,1,7,25-01300,1,1,19,2,5,2,2,2,N,1,0,4,1,72.72727272727273
233,36,2,6,2,2,2,N,9,0,1,11,5,2,4,1,8,25-00703,1,2,53,2,6,2,2,2,N,1,0,N,1,63.63636363636363
234,57,2,5,2,2,2,N,5,0,1,7,1,0,2,2,5,25-01300,1,1,46,2,5,2,2,2,N,1,0,2,8,81.81818181818183
235,63,2,6,2,2,2,N,9,0,1,6,4,0,N,1,8,25-00703,1,1,57,2,6,2,2,2,N,1,0,N,5,81.81818181818183
236,34,2,6,2,2,2,N,5,0,1,9,6,0,5,1,4,25-00703,1,1,21,2,6,2,2,2,N,1,1,6,1,63.63636363636363
237,86,2,7,2,2,1,N,5,0,1,15,3,0,N,1,6,25-00503,1,2,73,2,7,2,2,2,N,1,0,4,4,63.63636363636363
238,5,2,5,2,2,2,N,3,4,1,N,N,2,4,1,N,25-01300,1,2,12,2,5,2,2,1,N,1,0,2,N,63.63636363636363
239,62,2,5,2,2,2,N,9,0,1,6,1,0,2,2,3,25-01300,1,2,44,2,5,2,2,2,N,1,2,4,2,63.63636363636363
240,26,2,6,2,2,2,N,8,4,1,14,6,0,N,2,1,25-00703,2,2,29,2,6,2,2,2,N,1,2,3,3,63.63636363636363
241,83,2,7,2,2,2,N,5,0,1,12,4,0,N,2,3,25-00503,1,2,52,2,7,2,2,2,N,1,0,N,5,81.81818181818183
242,66,2,7,2,2,2,N,8,0,1,16,1,0,N,1,9,25-00503,1,2,68,2,7,2,2,2,N,1,0,2,6,72.72727272727273
243,41,2,6,2,2,2,N,10,0,1,13,6,0,2,1,1,25-01000,1,2,46,2,6,2,2,2,N,1,1,2,8,72.72727272727273
244,60,2,5,2,2,2,N,4,0,2,N,6,N,N,0,0,25-01300,1,1,63,2,5,2,2,1,N,3,N,N,0,72.72727272727273
245,61,2,6,2,2,2,N,5,0,1,6,6,0,N,1,0,25-01000,1,2,20,2,6,2,2,2,N,1,0,4,1,72.72727272727273
246,28,2,7,2,2,2,N,10,0,1,N,1,2,4,2,5,25-00503,6,2,37,2,7,2,2,2,N,1,2,4,0,81.81818181818183
247,48,2,7,2,2,2,N,8,0,1,11,6,0,N,2,4,25-00503,1,2,66,2,7,2,2,2,N,1,0,N,6,81.81818181818183
248,68,2,6,2,1,1,N,11,0,1,N,1,0,2,2,8,25-01000,1,1,80,1,6,2,2,2,N,1,0,2,8,63.63636363636363
249,53,2,6,2,2,2,N,9,0,1,4,4,0,5,1,6,25-01000,1,1,59,2,6,2,2,2,N,1,0,N,9,72.72727272727273
250,38,2,5,2,2,2,N,5,0,1,3,4,0,4,1,7,25-01300,1,1,59,2,5,2,2,2,N,1,0,N,8,72.72727272727273
251,19,2,5,2,2,2,N,10,0,1,7,1,0,3,1,7,25-01300,1,2,58,2,5,2,2,2,N,1,1,4,9,63.63636363636363
252,57,2,7,2,2,2,N,7,0,1,13,6,0,N,2,3,25-00503,1,1,60,2,7,2,2,2,N,1,0,N,5,81.81818181818183
253,32,2,7,2,2,2,N,5,0,1,4,1,0,3,1,7,25-00503,1,2,58,2,7,2,2,2,N,1,0,2,0,72.72727272727273
254,64,2,6,2,2,2,N,8,0,1,4,1,1,3,1,9,25-00703,1,2,66,2,6,2,2,2,N,1,0,2,5,63.63636363636363
255,54,1,6,2,2,2,N,9,0,1,4,1,0,3,2,9,25-01000,1,1,30,2,6,2,2,2,N,1,1,3,8,63.63636363636363
256,3,2,6,2,2,N,N,3,0,1,N,N,2,4,2,N,25-00703,9,1,13,2,6,2,2,2,N,1,3,4,N,72.72727272727273
257,2,2,6,2,N,N,N,N,4,1,N,N,2,4,2,N,25-01000,1,1,2,2,6,2,N,N,N,1,5,7,N,81.81818181818183
258,34,2,5,2,2,2,N,10,0,1,12,1,2,4,2,9,25-01300,1,2,65,2,5,2,2,1,N,1,0,2,3,54.54545454545454
259,57,2,7,2,2,2,N,7,0,1,11,3,0,N,1,4,25-02800,1,2,89,2,7,2,2,2,N,1,0,N,4,90.9090909090909
260,19,2,7,2,2,2,N,5,0,3,14,6,N,N,0,3,25-00503,1,1,18,2,7,2,2,2,N,3,N,N,1,81.81818181818183
261,49,2,7,2,2,1,N,11,0,1,16,1,1,2,1,9,25-00503,1,2,59,2,7,2,2,2,N,1,0,3,9,63.63636363636363
262,80,2,7,2,1,1,N,1,0,2,N,6,N,N,0,0,25-02800,1,1,56,2,7,1,2,1,N,3,N,N,2,54.54545454545454
263,31,2,6,2,2,2,N,5,0,1,6,1,0,2,2,5,25-00703,1,1,56,2,6,2,2,2,N,1,0,2,4,81.81818181818183
264,23,2,6,2,2,1,N,6,0,1,N,1,2,4,1,2,25-01000,1,1,75,2,6,2,2,2,N,1,0,3,7,54.54545454545454
265,42,1,5,2,2,2,N,5,0,3,13,6,N,N,0,2,25-01300,1,1,18,2,5,2,2,2,N,3,N,N,1,72.72727272727273
266,60,2,7,2,2,2,N,12,0,1,10,6,2,4,2,1,25-00503,6,2,22,2,7,2,2,2,N,1,2,3,6,72.72727272727273
267,21,2,6,2,2,2,N,10,0,1,12,1,1,4,1,9,25-01000,1,1,31,2,6,2,2,2,N,1,0,2,7,63.63636363636363
268,65,2,7,2,2,2,N,9,0,1,15,4,0,N,1,7,25-00503,1,2,49,2,7,2,2,2,N,1,0,N,6,81.81818181818183
269,39,2,6,2,2,2,N,9,0,1,11,4,2,6,1,0,25-01000,1,2,24,2,6,2,2,2,N,1,0,7,1,63.63636363636363
270,35,2,5,2,2,2,N,3,0,1,N,1,2,4,1,7,25-01300,1,1,77,1,5,2,2,2,N,1,0,2,6,54.54545454545454
271,40,2,7,2,2,2,N,9,0,1,15,6,3,5,1,3,25-00503,1,1,36,2,7,2,2,2,N,1,0,3,4,63.63636363636363
272,32,2,7,2,2,2,N,10,0,1,10,6,0,N,2,3,25-02800,1,2,41,2,7,2,2,2,N,1,0,N,9,81.81818181818183
273,81,2,6,2,2,2,N,9,0,1,N,1,0,3,2,3,25-01000,1,1,83,2,6,2,2,1,N,1,0,2,6,63.63636363636363
274,27,2,6,2,2,2,N,10,0,1,12,6,0,3,1,7,25-01000,1,2,64,2,6,2,2,2,N,1,0,N,8,72.72727272727273
275,62,2,5,2,2,2,N,3,0,1,N,3,1,2,1,8,25-01300,1,1,83,2,5,2,2,2,N,1,0,N,3,63.63636363636363
276,96,2,7,2,1,2,N,6,0,1,N,3,0,N,1,3,25-00503,1,2,68,2,7,2,2,2,N,1,0,3,4,63.63636363636363
277,60,2,7,2,2,2,N,9,0,1,N,4,0,5,1,8,25-02800,1,2,70,2,7,2,2,2,N,1,0,N,5,72.72727272727273
278,91,1,7,2,2,2,N,1,0,3,N,6,N,N,0,3,25-00503,1,2,34,2,7,2,2,1,N,3,N,N,1,63.63636363636363
279,70,2,7,2,2,2,N,9,0,1,4,1,1,2,2,8,25-00503,6,1,38,2,7,2,2,2,N,1,2,4,8,72.72727272727273
280,65,2,5,2,2,2,N,9,0,1,N,4,0,3,1,2,25-01300,1,1,68,2,5,2,2,2,N,1,0,N,2,81.81818181818183
281,40,2,7,2,2,2,N,7,0,1,14,1,0,N,1,7,25-00503,1,2,45,2,7,2,2,2,N,1,3,5,1,63.63636363636363
282,38,2,7,2,2,2,N,10,0,1,12,1,0,2,2,7,25-02800,1,2,48,2,7,2,2,2,N,1,0,6,7,81.81818181818183
283,81,1,7,2,1,2,N,6,0,2,N,3,N,N,0,2,25-02800,1,2,83,2,7,2,1,1,N,2,N,N,1,63.63636363636363
284,86,2,6,2,2,2,N,5,0,1,N,4,N,N,2,2,25-01000,1,1,89,2,6,2,1,2,N,1,0,N,1,63.63636363636363
285,19,2,6,2,2,2,N,8,0,1,12,1,2,4,1,N,25-00703,1,1,69,2,6,2,1,2,5,1,0,2,1,45.45454545454545
286,15,2,6,2,2,2,N,7,0,1,6,6,0,3,1,6,25-01000,1,1,26,2,6,2,2,2,N,1,0,4,3,72.72727272727273
287,37,2,7,2,2,2,N,9,0,1,N,6,0,3,2,5,25-02800,1,2,53,2,7,2,2,1,N,1,0,N,1,63.63636363636363
288,92,2,6,2,1,2,N,1,0,1,N,3,0,N,2,3,25-00703,1,2,88,2,6,2,2,2,N,1,0,N,2,72.72727272727273
289,57,2,7,2,2,1,N,10,0,1,12,6,0,N,2,7,25-00503,1,2,34,2,7,2,2,2,N,1,0,N,6,72.72727272727273
290,50,2,7,2,2,2,N,9,0,1,6,6,0,N,2,3,25-02800,1,2,29,2,7,2,2,2,N,1,0,N,6,81.81818181818183
291,49,2,5,2,2,2,N,7,0,1,14,6,0,N,2,2,25-01300,1,1,23,2,5,2,2,2,N,1,0,N,5,81.81818181818183
292,25,2,7,2,2,2,N,10,0,1,15,1,1,3,2,8,25-02800,1,2,65,2,7,2,2,2,N,1,0,2,6,63.63636363636363
293,61,2,7,2,2,2,N,7,0,1,4,6,2,4,1,0,25-02800,1,1,32,2,7,2,2,2,N,1,0,5,5,63.63636363636363
294,41,2,7,2,2,2,N,8,0,1,13,1,1,4,1,7,25-02800,1,2,54,2,7,2,2,1,N,1,2,5,4,54.54545454545454
295,27,2,7,2,2,2,N,7,0,3,6,6,N,N,2,1,25-00503,1,2,34,2,7,2,2,2,N,1,0,N,9,63.63636363636363
296,55,2,5,2,2,1,N,12,0,1,6,1,0,2,1,6,25-01300,1,1,63,2,5,2,2,2,N,1,0,2,9,72.72727272727273
297,55,2,7,2,2,2,N,8,0,1,6,1,0,N,1,7,25-00503,1,1,52,2,7,2,2,2,N,1,1,4,8,63.63636363636363
298,36,2,5,2,2,2,N,7,0,1,11,6,3,6,1,9,25-01300,1,2,19,2,5,2,2,2,N,1,0,3,1,63.63636363636363
299,75,2,7,2,2,1,N,7,0,1,N,6,3,N,1,3,25-02800,1,2,60,2,7,2,2,1,N,1,0,N,3,81.81818181818183
300,62,2,6,2,1,2,N,10,0,1,N,4,0,N,2,3,25-00703,1,2,66,2,6,2,2,1,N,1,1,2,3,54.54545454545454
301,17,2,5,2,2,2,N,1,0,3,N,6,N,N,0,0,25-01300,1,1,56,2,5,1,2,1,N,3,N,N,2,63.63636363636363
302,37,2,5,2,2,2,N,12,0,1,9,1,1,3,1,8,25-01300,1,2,58,2,5,2,2,2,N,1,0,2,8,72.72727272727273
303,64,2,7,2,2,2,N,9,0,1,11,4,0,2,2,6,25-02800,1,1,45,2,7,2,2,2,N,1,0,N,7,72.72727272727273
304,31,2,6,2,2,2,N,8,0,1,8,1,1,3,1,6,25-01000,1,1,43,2,6,2,2,2,N,1,2,4,7,63.63636363636363
305,37,2,7,2,2,2,N,9,0,1,14,6,0,3,2,8,25-00503,1,2,46,2,7,2,2,2,N,1,0,2,3,72.72727272727273
306,68,2,7,2,2,2,N,5,0,1,16,1,0,2,1,5,25-00503,1,2,46,2,7,2,2,2,N,1,0,4,7,72.72727272727273
307,76,2,5,2,1,2,N,5,0,1,N,4,0,N,1,6,25-01300,1,2,74,2,5,2,2,2,N,1,0,3,2,63.63636363636363
308,-2,2,7,2,2,2,N,2,0,1,N,N,2,4,1,N,25-00503,6,1,7,2,7,2,2,2,N,1,1,6,N,72.72727272727273
309,10,2,7,2,2,2,N,3,4,1,N,N,2,4,1,N,25-00503,1,2,11,2,7,2,2,2,N,1,2,4,N,90.9090909090909
310,31,2,5,2,2,2,N,10,0,1,9,1,1,3,1,8,25-01300,6,2,48,2,5,2,2,2,N,1,1,3,9,81.81818181818183
311,73,2,7,2,2,2,N,5,0,1,11,1,1,3,1,0,25-02800,1,2,50,2,7,2,2,2,N,1,0,3,3,72.72727272727273
312,50,2,7,2,2,2,N,10,0,1,10,1,1,3,2,8,25-02800,6,2,34,2,7,2,2,2,N,1,0,2,3,63.63636363636363
313,51,2,7,2,2,2,N,5,0,1,4,1,1,2,2,9,25-00503,1,1,55,2,7,2,2,2,N,1,0,3,6,63.63636363636363
314,46,2,7,2,2,2,N,5,0,1,6,4,0,N,1,8,25-00503,1,2,70,2,7,2,2,2,N,1,0,N,4,81.81818181818183
315,30,2,7,2,2,2,N,5,0,1,7,6,1,3,2,8,25-00503,1,1,37,2,7,2,2,2,N,1,0,3,0,72.72727272727273
316,25,2,7,2,2,2,N,10,0,1,4,1,1,3,1,8,25-00503,6,1,58,2,7,2,2,2,N,1,0,2,8,72.72727272727273
317,36,2,5,2,2,2,N,7,0,1,9,6,3,N,1,1,25-01300,1,2,30,2,5,2,2,2,N,1,0,3,5,63.63636363636363
318,90,2,7,2,1,2,N,5,0,1,N,3,0,N,0,2,25-00503,1,2,79,1,7,2,1,1,N,2,N,N,0,45.45454545454545
319,26,2,7,2,2,2,N,9,0,1,6,6,3,4,1,8,25-02800,1,2,29,2,7,2,2,2,N,1,0,N,6,63.63636363636363
320,27,2,5,2,2,2,N,8,0,1,3,6,0,4,1,3,25-01300,1,1,35,2,5,2,2,2,N,1,0,4,0,81.81818181818183
321,47,2,6,2,2,2,N,4,0,1,3,1,0,2,2,2,25-00703,1,1,46,2,6,2,2,2,N,1,2,4,7,63.63636363636363
322,48,2,6,2,2,2,N,5,0,1,12,4,0,N,2,3,25-01000,1,2,61,2,6,2,2,2,N,1,0,2,4,72.72727272727273
323,28,2,6,2,2,2,N,9,0,1,6,1,1,2,2,6,25-00703,1,2,76,2,6,2,2,2,N,1,0,2,7,72.72727272727273
324,32,2,5,2,2,2,N,10,0,1,8,1,1,3,1,8,25-01300,1,2,40,2,5,2,2,2,N,1,2,4,5,63.63636363636363
325,27,2,7,2,2,2,N,10,0,1,10,6,0,2,2,7,25-00503,1,2,34,2,7,2,2,2,N,1,0,N,8,72.72727272727273
326,18,2,6,2,2,2,N,4,0,1,13,6,0,4,1,9,25-00703,1,1,17,2,6,2,2,2,N,1,1,3,1,63.63636363636363
327,66,2,7,2,2,2,N,10,0,1,9,3,0,3,2,2,25-00503,1,2,78,2,7,2,2,2,N,1,0,2,9,72.72727272727273
328,80,1,7,1,1,1,N,9,0,2,N,3,N,N,0,0,25-02800,1,2,94,1,7,2,1,2,N,2,N,N,0,72.72727272727273
329,28,2,7,2,2,2,N,9,0,1,4,6,1,3,2,9,25-00503,1,1,32,2,7,2,2,2,N,1,0,N,8,63.63636363636363
